pmid,relations
39894222,MESH:D002658!EFCAB7!0.9997!Association;MESH:C580335!EFCAB7!0.6448!Association;MESH:D013771!EFCAB7!0.9997!Association
39934103,MESH:D059350!MVP!0.9757!Association;MESH:D059350!INPP5B!0.9927!Association;MESH:D010146!DRD2!0.9983!Association;MESH:D059350!DRD2!0.999!Association;MESH:D010146!INPP5B!0.8858!Association;MESH:D059350!SLC30A6!0.9994!Association;MESH:D059350!FOXP2!0.9957!Association;MESH:D010146!HTT!0.9955!Association;MESH:D059350!HTT!0.9857!Association;MESH:D010146!FOXP2!0.9403!Association;MESH:D010146!SLC30A6!0.9993!Association
40140957,MESH:C537198!KCND3!0.9994!Association
40301690,MESH:D002386!GJA8!0.9997!Association;MESH:D005124!GJA8!0.9997!Association;MESH:D007905!GJA8!0.9983!Association;MESH:D002658!GJA8!0.896!Association;MESH:D008850!GJA8!0.9996!Association;MESH:D001035!GJA8!0.9996!Association;MESH:D000853!GJA8!0.9884!Association;MESH:D003103!GJA8!0.9668!Association;MESH:D005128!GJA8!0.9997!Association
40356983,MESH:D003643!SLC5A2!0.9962!Association;MESH:D006333!SLC5A2!0.9994!Association
31137020,MESH:D000092562!TAS2R19!0.9996!Association;MESH:D000092562!GNB3!0.9997!Association;MESH:D000092562!TAS2R38!0.9997!Association;MESH:D000092562!GNB3!0.7908!Association;MESH:D000092562!RGS21!0.7876!Association;MESH:D000092562!TAS2R19!0.9986!Association;MESH:D000092562!TAS2R38!0.9984!Association
38072719,MESH:D020234!HES2!0.9915!Association;MESH:D010300!SGK1!0.9989!Association;MESH:D010300!MMRN2!0.9985!Association;MESH:D020234!SGK1!0.959!Association;MESH:D014202!SGK1!0.9974!Association;MESH:D020234!CTD!0.997!Association;MESH:D010300!RN7SL408P!0.9987!Association;MESH:D014202!CTD!0.9983!Association;MESH:D020234!RN7SL408P!0.9991!Association;MESH:D014202!RN7SL408P!0.9903!Association;MESH:D014202!PRPF31!0.9996!Association;MESH:D010300!HES2!0.9985!Association;MESH:D010300!SNCG!0.9656!Association
40098664,MESH:D009369!Fam43b!0.9989!Association;MESH:D009369!Neil1!0.6839!Negative_Correlation;MESH:D009369!Appl1!0.9968!Negative_Correlation;MESH:D009369!Asxl3!0.9988!Association;MESH:D009369!NEIL1!0.999!Association;MESH:D009369!APPL1!0.9993!Association
27240091,MESH:D009369!SPAG5!0.9995!Association;MESH:D009369!TSSK6!0.9996!Association;MESH:D009369!PRAMEF9!0.999!Association
33397451,MESH:D001847!PRPF38A!0.7104!Association;MESH:D001847!SMC3!0.9913!Association;MESH:D050723!PRPF38A!0.6563!Association;MESH:D050723!SMC3!0.9996!Association;MESH:D050723!SMC3!0.5168!Association;MESH:D001847!SMC3!0.9365!Association
