gene,disease,score,association,pmid
FAAP20,MESH:D009369,0.998,Association,37620397
GPR37L1,MESH:D001714,0.999,Association,38161273
ELF3,MESH:D001714,0.999,Association,38161273
ARL8A,MESH:D001714,0.999,Association,38161273
UBE2J2,MESH:D015470,0.999,Association,38366087
PDZK1,MESH:D013274,0.825,Association,38586313
LINC00853,MESH:D009369,0.994,Positive_Correlation,38586313
KANK4,MESH:D007627,0.948,Positive_Correlation,38622256
SYCP1,MESH:D015179,1.0,Association,39208330
SYCP1,MESH:D013736,0.993,Association,39208330
MIR197,MESH:D002583,0.953,Association,39242014
S100A9,MESH:D002294,0.971,Positive_Correlation,39367796
S100A9,MESH:D009298,0.999,Association,39367796
S100A9,MESH:D007249,0.93,Association,39367796
S100A9,MESH:D000092562,1.0,Association,39367796
KRTCAP2,MESH:D000086382,0.95,Association,39384777
HMGN2P18,MESH:D000086382,0.9,Association,39384777
SLC35F3,MESH:D000077192,1.0,Association,39414367
SLC35F3,MESH:D009369,1.0,Association,39414367
HES4,MESH:D006528,0.995,Association,39616302
HES4,MESH:D009369,0.999,Association,"39616302,39934570"
DCLRE1B,OMIM:603933,0.999,Association,39719581
DCLRE1B,MESH:D003930,1.0,Association,39719581
Tnfrsf1b,MESH:D007249,0.999,Association,"39300279,39729868"
Tnfaip8l2,MESH:D007249,1.0,Association,39729868
Sft2d2,MESH:D000068079,0.996,Association,39733937
ARID1A,MESH:D003528,0.997,Association,39760648
ARID1A,MESH:D009369,0.778,Association,39760648
SPEN,MESH:D009369,0.999,Association,39760648
RIT1,MESH:D003528,0.987,Association,39760648
ILF2,MESH:D006528,0.999,Association,39840062
DDX11L2,MESH:D018805,0.999,Association,39871218
TSHB,MESH:D003409,0.784,Association,39875149
TSHB,MESH:D007037,1.0,Association,39875149
Zdhhc18,MESH:D014517,0.999,Positive_Correlation,39913299
ZDHHC18,MESH:D005355,0.943,Association,39913299
Zdhhc18,MESH:D005355,0.984,Association,39913299
Zdhhc18,MESH:D051436,0.809,Association,39913299
Zdhhc18,MESH:D007674,0.537,Positive_Correlation,39913299
Zdhhc18,MESH:D006030,1.0,Association,39913299
TAS1R3,MESH:D014091,1.0,Association,39922492
TAS1R3,MESH:D001851,1.0,Association,39922492
NOS1AP,MESH:D008133,1.0,Association,39930683
NOS1AP,MESH:D012559,1.0,Association,39930683
NOS1AP,MESH:D002318,1.0,Association,39930683
HES4,MESH:D006528,0.972,Positive_Correlation,39934570
PLPPR4,MESH:D013274,0.754,Association,39967665
MAB21L3,MESH:D016403,0.88,Negative_Correlation,40029433
